V0000399258	それはとってもいい話だ。	それはとってもいいはなしだ 
V0000401524	彼は課長に昇進しました。	かれ は かちょう に しょうしん しました 
V0000401525	地震の後、町は大混乱だったよ。	じしん の あと まち は だいこんらん だった よ 
V0000401526	これからパスポートの申請に行きます。	これから ぱすぽーと の しんせい に いきます 
V0000401527	もう我慢の限界です。	もう がまん の げんかい です 
V0000401528	教授はカナダ出身です。	きょうじゅ は かなだ しゅっしん です 
V0000401529	この仕事は来月の下旬には終わります。	この しごと は らいげつ の げじゅん に は おわります 
V0000401530	新しい市長が選ばれました。	あたらしい しちょう が えらばれました 
V0000401531	あの巨大な建物は博物館です。	あの きょだい な たてもの は はくぶつかん です 
V0000401532	高度な技術を持つ人材を集めました。	こうど な ぎじゅつ を もつ じんざい を あつめました 
V0000401533	姉は何に対しても積極的です。	あね は なに に たいして も せっきょくてき です 
V0000401534	地図にはいろいろな記号が使われているのね。	ちず に は いろいろ な きごう が つかわれて いる の ね 
V0000401535	今日の話し合いでは結論が出なかった。	きょう の はなしあい で は けつろん が でなかった 
V0000401536	主婦の主な仕事は家事よ。	しゅふ の おも な しごと は かじ よ 
V0000401537	私はもう決心を固めたの。	わたし は もう けっしん を かためた の 
V0000401538	緊急事態が発生した。	きんきゅう じたい が はっせい した 
V0000401539	宇宙の謎は限りなく大きいの。	うちゅう の なぞ は かぎり なく おおきい の 
V0000401540	この機械の仕組みは複雑だ。	この きかい の しくみ は ふくざつ だ 
V0000401541	天皇は日本国の象徴です。	てんのう は にほんこく の しょうちょう です 
V0000401542	それ以来彼女に会ってない。	それ いらい かのじょ に あってない 
V0000401543	独身者パーティーを企画した。	どくしんしゃ ぱーてぃー を きかく した 
V0000401544	もっと他の町との交流を深めましょう。	もっと ほか の まち と の こうりゅう を ふかめましょう 
V0000401545	あなたの事情を考慮して予定をたてました。	あなた の じじょう を こうりょ して よてい を たてました 
V0000401546	裁判の様子はテレビで中継されたわよ。	さいばん の ようす は てれび で ちゅうけい された わ よ 
V0000401547	彼から良い印象を受けたわ。	かのじょ から よい いんしょう を うけた わ 
V0000401548	山で登山客が熊に襲われたよ。	やま で とざん きゃく が くま に おそわれた よ 
V0000401549	感情とは複雑なものです。	かんじょう と は ふくざつ な もの です 
V0000401550	私は彼の意見に賛成だ。	わたし は かれ の いけん に さんせい だ 
V0000401551	冷えて指の感覚がない。	ひえて ゆび の かんかく が ない 
V0000401552	道で警官に呼び止められた。	みち で けいかん に よびとめられた 
V0000401553	これからは経費を節約しましょう。	これ から は けいひ を せつやく しましょう 
V0000401554	彼女は有名な作家です。	かのじょ は ゆうめい な さっか です 
V0000401555	人類は2本の足で歩きます。	じんるい は にほん の あし で あるきます 
V0000401556	これは税金の無駄遣いだね。	これ は ぜいきん の むだづかい だ ね 
V0000401557	この映画は香港で製作されました。	この えいが は ほんこん で せいさく されました 
V0000401558	彼らは次の試合のために作戦を立てたのよ。	かれら は つぎ の しあい の ため に さくせん を たてた の よ 
V0000401559	この本は15年前に出版された。	この ほん は じゅうごねんまえ に しゅっぱん された 
V0000401560	この大学も国際化してきたな。	この だいがく も こくさいか して きた な 
V0000401561	兄は商社に勤めています。	あに は しょうしゃ に つとめて います 
V0000401562	私たちには知る権利があります。	わたしたち に は しる けんり が あります 
V0000401563	ここに去年の所得をご記入ください。	ここ に きょねん の しょとく を ご きにゅう ください 
V0000401564	彼はボールに回転を掛けたんだ。	かれ は ぼーる に かいてん を かけた ん だ 
V0000401565	久しぶりに家族全員で食卓を囲みました。	ひさしぶり に かぞく ぜんいん で しょくたく を かこみました 
V0000401566	ものごとは根気よく継続することが大切です。	もの ごと は こんき よく けいぞく する こと が たいせつ です 
V0000401567	憲法を改正することは難しいわね。	けんぽう を かいせい する こと は むずかしい わ ね 
V0000401568	彼女は今、精神が不安定だ。	かのじょ は いま せいしん が ふあんてい だ 
V0000401569	国会の会期が延長されたわね。	こっかい の かいき が えんちょう された わ ね 
V0000401570	これは外部には秘密です。	これ は がいぶ に は ひみつ です 
V0000401571	これを縮小して印刷してください。	これ を しゅくしょう して いんさつ して ください 
V0000401572	科学技術は目覚しく進歩しているの。	かがく ぎじゅつ は めざましく しんぽ して いる の 
V0000401573	小屋に石炭の山があります。	こや に せきたん の やま が あります 
V0000401574	少年よ大志を抱け。	しょうねん よ たいし を いだけ 
V0000401575	あの一家は仲がいい。	あの いっか は なか が いい 
V0000401576	疲れたでしょう、一旦休みましょう。	つかれた でしょう いったん やすみましょう 
V0000401577	彼は仕事に意欲を燃やしています。	かれ は しごと に いよく を もやして います 
V0000401578	彼の言葉が本当かは疑問です。	かれ の ことば が ほんとう か は ぎもん です 
V0000401579	とても価値のある話を聞いたよ。	とても かち の ある はなし を きいた よ 
V0000401580	試合はすぐに再開されたの。	しあい は すぐ に さいかい された の 
V0000401581	彼女の詩は世界中で有名になったんだ。	かのじょ の し は せかいじゅう で ゆうめい に なった ん だ 
V0000401582	その事故で30人の死者が出たの。	その じこ で さんじゅうにん の ししゃ が でた の 
V0000401583	私は彼の説が正しいと思う。	わたし は かれ の せつ が ただしい と おもう 
V0000401584	この表は年齢区分ごとの人口を表しています。	この ひょう は ねんれい くぶん ごと の じんこう を あらわして います 
V0000401585	食品は日曜日にまとめて買います。	しょくひん は にちようび に まとめて かいます 
V0000401586	彼女は久しぶりに故郷に帰りました。	かのじょ は ひさしぶり に こきょう に かえりました 
V0000401587	彼はこの国で大きな権力を持っているわ。	かれ は この くに で おおき な けんりょく を もって いる わ 
V0000401588	私は郊外に家を買いました。	わたし は こうがい に いえ を かいました 
V0000401589	その男は彼女のバッグを奪ったぞ。	その おとこ は かのじょ の ばっぐ を うばった ぞ 
V0000401590	日本では絶えず米の品種を改良しているの。	にほん で は たえず こめ の ひんしゅ を かいりょう して いる の 
V0000401591	正しい答は後者です。	ただしい こたえ は こうしゃ です 
V0000401592	今後の方針が公式に発表されました。	こんご の ほうしん が こうしき に はっぴょう されました 
V0000401593	この本の作者は誰ですか。	この ほん の さくしゃ は だれ です か 
V0000401594	駅は逆方向です。	えき は ぎゃくほうこう です 
V0000401595	彼女は毎日の暮らしを楽しんでいますね。	かのじょ は まいにち の くらし を たのしんで います ね 
V0000401596	わが社は今年度、黒字となりました。	わがしゃ は こんねんど くろじ と なりました 
V0000401597	祖母は心臓が悪いんだ。	そぼ は しんぞう が わるい ん だ 
V0000401598	ここにタイヤの跡があるわ。	ここ に たいや の あと が ある わ 
V0000401599	アンケートに回答しました。	あんけーと に かいとう しました 
V0000401600	休日は植物の世話をして過ごします。	きゅうじつ は しょくぶつ の せわ を して すごします 
V0000401601	試合の代表メンバーが確定したの。	しあい の だいひょう めんばー が かくてい した の 
V0000401602	荷物はここに重ねてください。	にもつ は ここ に かさねて ください 
V0000401603	ここは芸術を愛する国です。	ここ は げいじゅつ を あいする くに です 
V0000401604	その会社は店舗を拡張していますね。	その かいしゃ は てんぽ を かくちょう して います ね 
V0000401605	あなたの見解を聞かせてください。	あなた の けんかい を きかせて ください 
V0000401606	そのクイズ番組は脳を刺激するね。	その くいずばんぐみ は のう を しげき する ね 
V0000401607	彼は会長に推薦されたよ。	かれ は かいちょう に すいせん された よ 
V0000401608	今日は最高にいい気分だよ。	きょう は さいこう に いい きぶん だ よ 
V0000401609	公園で死体が見つかったの。	こうえん で したい が みつかった の 
V0000401610	そこの角で車同士が衝突したのよ。	そこ の かど で くるま どうし が しょうとつ した の よ 
V0000401611	彼の成長は著しいです。	かれ の せいちょう は いちじるしい です 
V0000401612	感動する映画でした。	かんどう する えいが でした 
V0000401613	新しい型のカメラを買いました。	あたらしい かた の かめら を かいました 
V0000401614	卒業の記念にみんなで旅行したよ。	そつぎょう の きねん に みんな で りょこう した よ 
V0000401615	手術後の経過は順調です。	しゅじゅつ ご の けいか は じゅんちょう です 
V0000401616	余りは次回使いましょう。	あまり は じかい つかいましょう 
V0000401617	彼に協力を依頼しました。	かれ に きょうりょく を いらい しました 
V0000401618	古い服を整理しました。	ふるい ふく を せいり しました 
V0000401619	彼らの海外公演が発表されたよ。	かれら の かいがいこうえん が はっぴょう された よ 
V0000401620	彼らは一斉に拍手したね。	かれら は いっせいに はくしゅ した ね 
V0000401621	彼は国民の支持を得たのよ。	かれ は こくみん の しじ を えた の よ 
V0000401622	その事件は次第に忘れられていったのさ。	その じけん は しだいに わすれられて いった の さ 
V0000401623	この商品は主に女性に人気がありまして。	この しょうひん は おもに じょせい に にんき が ありまし て 
V0000401624	彼は貴重な体験をしたわね。	かれ は きちょう な たいけん を した わ ね 
V0000401625	例を幾つか挙げてみましょう。	れい を いくつ か あげて みましょう 
V0000401626	その川の水は汚染されています。	その かわ の みず は おせん されて います 
V0000401627	見学者に機械の動く原理を説明しました。	けんがくしゃ に きかい の うごく げんり を せつめい しました 
V0000401628	ここは交通の便がよいですね。	ここ は こうつう の べん が よい です ね 
V0000401629	の値を求めなさい。	えっくす の あたい を もとめなさい 
V0000401630	彼は悪い習慣を改めようとしているわね。	かれ は わるい しゅうかん を あらためよう と して いる わ ね 
V0000401631	合計金額を計算してください。	ごうけい きんがく を けいさん して ください 
V0000401632	宗教を持たない人もたくさんいるわ。	しゅうきょう を もたない ひと も たくさん いる わ 
V0000401633	高校卒業後、系列の大学に進みました。	こうこう そつぎょう ご けいれつ の だいがく に すすみました 
V0000401634	テロ集団が警察に捕まりました。	てろ しゅうだん が けいさつ に つかまりました 
V0000401635	彼は1年2組の生徒です。	かれ は いちねん にくみ の せいと です 
V0000401636	地震のあとは津波に警戒してください。	じしん の あと は つなみ に けいかい して ください 
V0000401637	検討の結果、案を修正したよ。	けんとう の けっか あん を しゅうせい した よ 
V0000401638	私の一日の勤務時間は8時間です。	わたし の いちにち の きんむじかん は はちじかん です 
V0000401639	このプロジェクトで私は彼と組んでいるんだ。	この ぷろじぇくと で わたし は かれ と くんで いる ん だ 
V0000401640	解答に誤りが3つ有りますよ。	かいとう に あやまり が みっつ あります よ 
V0000401641	この辺一帯はリンゴ畑です。	この へん いったい は りんごばたけ です 
V0000401642	彼女は最近元気がないですね。	かのじょ は さいきん げんき が ない です ね 
V0000401643	今月はエアコンの売り上げが好調です。	こんげつ は えあこん の うりあげ が こうちょう です 
V0000401644	この製品を使用する前に、説明書をお読みください。	この せいひん を しよう する まえ に せつめいしょ を およみ ください 
V0000401645	私は前者の方が優れていると思います。	わたし は ぜんしゃ の ほう が すぐれて いる と おもいます 
V0000401646	一体何事ですか。	いったい なにごと です か 
V0000401647	首相は内閣の改造を行いました。	しゅしょう は ないかく の かいぞう を おこないました 
V0000401648	そのことは既にみんな知っています。	その こと は すでに みんな しって います 
V0000401649	大いに学び、大いに遊びなさい。	おおいに まなび おおいに あそびなさい 
V0000401650	今日は学校で行事がありました。	きょう は がっこう で ぎょうじ が ありました 
V0000401651	彼は実験を試みたのよ。	かれ は じっけん を こころみた 
V0000401652	このワインは国産です。	この わいん は こくさん です 
V0000401653	私の話を落ち着いて聞いてください。	わたし の はなし を おちついて きいて ください 
V0000401654	彼の発言に対してたくさんの抗議があったよ。	かれ の はつげん に たいして たくさん の こうぎ が あった 
V0000401655	この薬は神経に作用します。	この くすり は しんけい に さよう します 
V0000401656	私は一切その問題とは関係がありません。	わたし は いっさい その もんだい と は かんけい が ありません 
V0000401657	貧富の格差が大きくなっているな。	ひんぷ の かくさ が おおきく なって いる な 
V0000401658	日本語を教える資格を取りたいです。	にほんご を おしえる しかく を とりたい です 
V0000401659	これは強力な接着剤ね。	これ は きょうりょく な せっちゃくざい ね 
V0000401660	証拠を見つけるまで逮捕はできません。	しょうこ を みつける まで たいほ は できません 
V0000401661	先生に許可をもらって早退しました。	せんせい に きょか を もらって そうたい しました 
V0000401662	コンサートは夜7時5分に終了しました。	こんさーと は よる しち じ ご ふん に しゅうりょう しました 
V0000401663	代金は現金でお願いします。	だいきん は げんきん で おねがい します 
V0000401664	地球の資源を守りましょう。	ちきゅう の しげん を まもりましょう 
V0000401665	彼女が将来、大統領になることは確実です。	かのじょ が しょうらい だいとうりょう に なる こと は かくじつ です 
V0000401666	冬は空気が乾燥しますね。	ふゆ は くうき が かんそう します ね 
V0000401667	全ての人に人権がある。	すべて の ひと に じんけん が ある 
V0000401668	金属は高温で溶かします。	こうおん で きんぞく を とかします 
V0000401669	彼は真剣に話を聞いていました。	かれ は しんけん に はなし を きいて いました 
V0000401670	彼の決意は堅いな。	かれ の けつい は かたい な 
V0000401671	その芸術祭は市が主催しています。	その げいじゅつさい は し が しゅさい して います 
V0000401672	あなたの意図はよく分かりました。	あなた の いと は よく わかりました 
V0000401673	留守番電話のメッセージを再生したの。	るすばんでんわ の めっせーじ を さいせい した の 
V0000401674	そんなの常識だよ。	そんな の じょうしき だ よ 
V0000401675	彼は神経が細かいですね。	かれ は しんけい が こまかい です ね 
V0000401676	それは歴史上の大きな革命です。	それ は れきしじょう の おおき な かくめい です 
V0000401677	この線を軸にして図形を回転してください。	この せん を じく に して ずけい を かいてん して ください 
V0000401678	先生のお陰で大学に合格できました。	せんせい の おかげ で だいがく に ごうかく できました 
V0000401679	お支払いはカードもお使いいただけます。	おしはらい は かーど も お つかい いただけます 
V0000401680	彼は受験の失敗を恐れています。	かれ は じゅけん の しっぱい を おそれて います 
V0000401681	もうプリンは固まったかな。	もう ぷりん は かたまった か な 
V0000401682	ごま油の代わりにオリーブ油を使いましょう。	ごまあぶら の かわり に おりーぶゆ を つかいましょう 
V0000401683	腹一杯食った。	はらいっぱい くった 
V0000401684	詳細はお気軽にお問い合わせ下さい。	しょうさい は おきがる に おといあわせ ください 
V0000401685	彼女は京都の生まれです。	かのじょ は きょうと の うまれ です 
V0000401686	彼は少年の頃から学問が好きでした。	かれ は しょうねん の ころ から がくもん が すき でした 
V0000401687	雨の日は子供を室内で遊ばせます。	あめ の ひ は こども を しつない で あそばせます 
V0000401688	これは今までで最低の記録だ。	これ は いま まで で さいてい の きろく だ 
P0000185131	その権力者による支配は50年以上続いたんです。	その けんりょく しゃ による しはい は 
P0000185131	ねん いじょう つづいた ん です 。 
V0000401689	大きく息を吸ってください。	おおきく いき を すって ください 。 
V0000401690	これ以上税が上がると生活できないね。	これ いじょう ぜい が あがる と せいかつ できない ね 。 
V0000401691	最近はテレビを見る回数が減りました。	さいきん は テレビ を みる かいすう が へりました 。 
V0000401692	雪の結晶にはいろいろな形があります。	ゆき の けっしょう に は いろいろ な かたち が あります 。 
V0000401693	欠点のない人間はいません。	けってん の ない にんげん はいません 。 
V0000401694	私たちは万歳をして喜びを表しました。	わたし たち は ばんざい を して よろこび を あらわしました 。 
V0000401695	彼は医学を学んでいます。	かれ は いがく を まなん でいます 。 
V0000401696	そのチームには勢いがありますね。	その チーム に は いきおい が あります ね 。 
V0000401697	その国には物資の援助が必要です。	その く に には ぶっし の えんじょ が ひつよう です 。 
V0000401698	大雨で崖が崩れたね。	おおあめ で がけ が くずれた ね 。 
V0000401699	飛行機の座席はゆったりしていたよ。	ひこうき の ざせき は ゆったり していた よ 。 
V0000401700	もっと照明を明るくしてください。	もっと しょうめい を あかるく して ください 。 
V0000401701	化粧品は化学工場で作られます。	けしょう ひん は かがく こうじょう で つくられます 。 
V0000401702	彼女はショックで口もきけなかったわ。	かのじょ は ショック で くち も きけなかった わ 。 
V0000401703	屋上にアンテナが立っていますね。	おくじょう に アンテナ が たっています ね 。 
V0000401704	彼はあえて危険を冒したの。	かれ は あえて きけん を おかした の 。 
V0000401705	本にカバーを掛けました。	ほん に カバー を かけました 。 
V0000401706	彼女は有能なジャーナリストだ。	かのじょ は ゆうのう な ジャーナリスト だ 。 
V0000401707	彼女はモデルのようにスタイルがいいね。	かのじょ は モデル の よう に スタイル が いい ね 。 
V0000401708	彼はインタビューに、はきはきと答えてたよ。	かれ は インタビュー に 、 はきはき と こたえてた よ 。 
V0000401709	彼女たちはそれぞれ個性が強いですね。	かのじょ たち は それぞれ こせい が つよい です ね 。 
V0000401710	地震は自然災害のひとつです。	じしん は しぜん さいがい の ひとつ です 。 
V0000401711	彼にも一応知らせておいたほうがいいだろう。	かれ に も いちおう しらせておいた ほう が いい だろう 。 
V0000401712	テレビの画面が明るすぎる。	テレビ の がめん が あかるすぎる 。 
V0000401713	暮れは用事が多くて忙しいです。	くれ は ようじ が おおくて いそがしい です 。 
V0000401714	私たちは公害を減らすよう努力しています。	わたし たち は こうがい を へらす よう どりょく しています 。 
V0000401715	この本を参考にして下さい。	この ほん を さんこう に してください 。 
V0000401716	このデザインは数々の賞を受けています。	この デザイン は かずかず の しょう を うけています 。 
V0000401717	労働は国民の義務です。	ろうどう は こくみん の ぎむ です 。 
V0000401718	突然の悲しみが一家を襲いました。	とつぜん の かなしみ が いっか を おそいました 。 
V0000401719	生命は海から始まったと言われている。	せいめい は うみ から はじまった と いわれている 。 
V0000401720	彼ったら怒り爆発だったよ。	かれったら いかり ばくはつ だった よ 。 
V0000401721	今年の夏は異常な暑さですね。	ことし の なつ は いじょう な あつ さ です ね 。 
V0000401722	命より大切なものは無いよ。	いのち より たいせつ な もの は ない よ 。 
V0000401723	大勢が応援に駆けつけてくれたよ。	たいせい が おうえん に かけつけてくれた よ 。 
V0000401724	お気に入りのカップが欠けてしまいました。	おきにいり の カップ が かけてしまいました 。 
V0000401725	高速道路は混んでたよ。	こうそく どうろ は こん でた よ 。 
V0000401726	友達のお父さんが突然失業したの。	ともだち の おとうさん が とつぜん しつぎょう した の 。 
P0000185132	今日は8チームが出場しました。	きょう は 
P0000185132	チーム が しゅつじょう しました 。 
V0000401727	仮にそれが事実だとしてももう遅いよ。	かりに それ が じじつ だ として も もう おそい よ 。 
V0000401728	近代の技術の発展はものすごいです。	きんだい の ぎじゅつ の はってん は ものすごい です 。 
V0000401729	専門家を講師に招いた。	せんもん か を こうし に まねいた 。 
V0000401730	視点を変えて見てみましょう。	してん を かえて みてみましょう 。 
V0000401731	医者に症状を説明したよ。	いしゃ に しょうじょう を せつめい した よ 。 
V0000401732	一列に並んで前進して下さい。	いち れつ に ならん で ぜん しん してください 。 
V0000401733	すみません、以後気を付けます。	すみません 、 いご き を つけます 。 
V0000401734	店の前に長い行列ができていますよ。	みせ の まえ に ながい ぎょうれつ が できています よ 。 
V0000401735	小学校で子供たちの劇を見ました。	しょうがっこう で こども たち の げき を みました 。 
V0000401736	この詩を解釈してみましょう。	この し を かい しゃく してみましょう 。 
V0000401737	一体何の騒ぎですか。	いったい なに の さわぎ です か 。 
V0000401738	彼は学校の劇で主役に選ばれたよ。	かれ は がっこう の げき で しゅやく に えらばれた よ 。 
V0000401739	赤ちゃんの笑顔が可愛いい。	あかちゃん の えがお が かわい いい 。 
V0000401740	窓に男性の影が映っています。	まど に だんせい の かげ が うつっています 。 
V0000401741	彼女はラジオ局で働いています。	かのじょ は ラジオ きょく で はたらいています 。 
V0000401742	それは極端な意見だね。	それ は きょくたん な いけん だ ね 。 
V0000401743	車に駐車違反の警告を貼られました。	くるま に ちゅうしゃ いはん の けいこく を はられました 。 
P0000185133	午後8時に劇場の前で会いましょう。	ごご 
P0000185133	じ に げきじょう の まえ で あいましょう 。 
V0000401744	原子力の安全な利用について考えましょう。	げんしりょく の あんぜん な りよう について かんがえましょう 。 
V0000401745	その殺人事件は白昼に起こったんだ。	その さつじん じけん は はくちゅう に おこった ん だ 。 
V0000401746	図を描いて説明しましょう。	ず を えがいて せつめい しましょう 。 
V0000401747	彼はよく刑事の役を演じるね。	かれ は よく けいじ の やく を えんじる ね 。 
V0000401748	新聞の解説欄を読みました。	しんぶん の かいせつ らん を よみました 。 
V0000401749	高速道路で事故が重なった。	こうそく どうろ で じこ が かさなった 。 
V0000401750	私たちは高級ホテルに泊まったの。	わたし たち は こうきゅう ホテル に とまった の 。 
V0000401751	彼は差別をなくす運動をしています。	かれ は さべつ を なくす うんどう を しています 。 
V0000401752	大学卒業は一昨年です。	だいがく そつぎょう は いっさくねん です 。 
V0000401753	彼は高校の教員です。	かれ は こうこう の きょういん です 。 
V0000401754	彼らは裁判所の前で知らせを待っています。	かれら は さいばんしょ の まえ で しらせ を まっています 。 
V0000401755	学校では音楽部に所属していました。	がっこう で は おんがく ぶ に しょぞく していました 。 
V0000401756	彼は額に汗をかいていたの。	かれ は がく に あせ を かいていた の 。 
V0000401757	彼は数々の名作を生み出した。	かれ は かずかず の めいさく を うみだした 。 
V0000401758	雑音がひどくて声が聞こえません。	ざつおん が ひどくて こえ が きこえません 。 
V0000401759	辺りを見回したの。	あたり を みまわした の 。 
V0000401760	彼はお金をだいぶ稼いだらしいよ。	かれ は おかね を だいぶ かせいだ らしい よ 。 
V0000401761	私は今日、目の検査を受けます。	わたし は きょう 、 め の けんさ を うけます 。 
V0000401762	この地方ではみかんの栽培が盛んです。	この ちほう で は みかん の さいばい が さかん です 。 
V0000401763	ボールが速過ぎて受け止められなかったの。	ボール が はやすぎて うけとめられなかった の 。 
V0000401764	俺の頼みを聞いてくれ。	おれ の たのみ を きいてくれ 。 
V0000401765	彼はとても有名な科学者だ。	かれ は とても ゆうめい な かがく しゃ だ 。 
V0000401766	火災の原因は放火だそうです。	かさい の げんいん は ほうか だ そう です 。 
V0000401767	何を根拠にそんな事を言うのですか。	なに を こんきょ に そんな こと を いう の です か 。 
V0000401768	来年、衆議院が解散されるだろう。	らいねん 、 しゅうぎいん が かい さん される だろう 。 
V0000401769	海水から塩を作ります。	かいすい から しお を つくります 。 
V0000401770	今日は体の具合が悪いです。	きょう は からだ の ぐあい が わるい です 。 
V0000401771	勝負はまだ始まったばかりよ。	しょうぶ は まだ はじまった ばかり よ 。 
V0000401772	意外にも彼は独身です。	いがい に も かれ は どくしん です 。 
V0000401773	ここは危険区域よ。	ここ は きけん くいき よ 。 
V0000401774	幸い、電車に嵐の影響はなかった。	さいわい 、 でんしゃ に あらし の えいきょう は なかった 。 
V0000401775	彼は機械の操作を誤った。	かれ は きかい の そうさ を あやまった 。 
V0000401776	ペットを飼ったことはありますか。	ペット を かった こと は あります か 。 
V0000401777	彼は学会で論文を発表したよ。	かれ は がっかい で ろんぶん を はっぴょう した よ 。 
P0000185134	事務の経験が3年あります。	じむ の けいけん が 
P0000185134	ねん あります 。 
V0000401778	これは人工の湖です。	これ は じんこう の みずうみ です 。 
V0000401779	台風が接近していますね。	たいふう が せっきん しています ね 。 
V0000401780	経済的な効果は計り知れません。	けいざい てき な こうか は はかり しれません 。 
V0000401781	年賀状を印刷したの。	ねんがじょう を いんさつ した の 。 
P0000185135	電車が10分遅れで到着したんだ。	でんしゃ が 
P0000185135	ふん おくれ で とうちゃく した ん だ 。 
V0000401782	彼女の瞳は喜びで輝いていますね。	かのじょ の ひとみ は よろこび で かがやいています ね 。 
V0000401783	彼女は背の高い男性を好みますね。	かのじょ は せ の たかい だんせい を このみます ね 。 
V0000401784	あいうえお順に並べて下さい。	あ いう え お じゅん に ならべてください 。 
V0000401785	その選手は今シーズンも好調だね。	その せんしゅ は こん シーズン も こうちょう だ ね 。 
V0000401786	重大な発表があります。	じゅうだい な はっぴょう が あります 。 
V0000401787	この荷物はかなりの重量ですね。	この にもつ は かなり の じゅうりょう です ね 。 
V0000401788	自分らしい生き方をしなさい。	じぶん らしい いきかた を しなさい 。 
V0000401789	王の墓を見学したよ。	おう の はか を けんがく した よ 。 
V0000401790	彼はあの通りに店を構えているの。	かれ は あの とおり に みせ を かまえている の 。 
V0000401791	足の傷が痛みます。	あし の きず が いたみます 。 
V0000401792	市は昨年から歩きタバコを禁じているの。	し は さくねん から あるき タバコ を きんじている の 。 
V0000401793	心臓は全身に血液を送り出している。	しんぞう は ぜんしん に けつえき を おくりだしている 。 
V0000401794	父の手術が無事に済みました。	ちち の しゅじゅつ が ぶじ に すみました 。 
V0000401795	そんなことは絶対できないよ。	そんな こと は ぜったい できない よ 。 
V0000401796	彼がいいアイデアを出したね。	かれ が いい アイデア を だした ね 。 
V0000401797	一緒に食事しようか。	いっしょ に しょくじ しよう か 。 
V0000401798	外貨を両替しました。	がいか を りょうがえ しました 。 
V0000401799	この花はいい香りがしますね。	この はな は いい かおり が します ね 。 
V0000401800	これは世界で最小のコンピューターです。	これ は せかい で さいしょう の コンピューター です 。 
V0000401801	夏は水分を十分に補いましょう。	なつ は すいぶん を じゅうぶん に おぎないましょう 。 
V0000401802	この角度からは画面が見えにくいですね。	この かくど から は がめん が みえにくい です ね 。 
V0000401803	昨日火山が爆発したの。	きのう かざん が ばくはつ した の 。 
V0000401804	私の父は公務員です。	わたし の ちち は こうむいん です 。 
V0000401805	この事業には大きな意義があります。	この じぎょう に は おおきな いぎ が あります 。 
V0000401806	人質が解放されてよかった。	ひとじち が かいほう されてよかった 。 
V0000401807	彼は新しい仕事に人生を賭けている。	かれ は あたらしい しごと に じんせい を かけている 。 
V0000401808	そのマラソン大会にはたくさんの国々から選手が集まったよ。	その マラソン たいかい に は たくさん の くにぐに から せんしゅ が あつまった よ 。 
V0000401809	ここは子育てに最適な環境です。	ここ は こそだて に さいてき な かんきょう です 。 
V0000401810	二人の実力は互角です。	に にん の じつりょく は ごかく です 。 
P0000185136	彼は80年の生涯を閉じました。	かれ は 
P0000185136	ねん の しょうがい を とじました 。 
V0000401811	医師は異常なしと診断したんだ。	いし は いじょう なし と しんだん した ん だ 。 
V0000401812	彼はいかにもスポーツマンらしいですね。	かれ は いかにも スポーツマン らしい です ね 。 
V0000401813	彼は一見サラリーマン風ですね。	かれ は いっけん サラリーマン ふう です ね 。 
V0000401814	彼は柔軟に対応をした。	かれ は じゅうなん に たいおう を した 。 
V0000401815	活発な意見が交されたの。	かっぱつ な いけん が かわされた の 。 
V0000401816	このソフトで画像を合成できます。	この ソフト で がぞう を ごうせい できます 。 
V0000401817	彼は株で財産の半分を失ったの。	かれ は かぶ で ざいさん の はんぶん を うしなった の 。 
V0000401818	ここは児童の通学路です。	ここ は じどう の つうがく ろ です 。 
V0000401819	運動した翌日は全身の筋肉が痛い。	うんどう した よくじつ は ぜんしん の きんにく が いたい 。 
V0000401820	彼はくじ引きで一等賞を当てたよ。	かれ は くじびき で いっとう しょう を あてた よ 。 
V0000401821	後ろからいきなり肩をたたかれた。	うしろ から いきなり かた を たたかれた 。 
V0000401822	水面に月が映っているね。	すいめん に つき が うつっている ね 。 
V0000401823	改めてあなたのご意見を聞かせて下さい。	あらためて あなた の ご いけん を きかせてください 。 
V0000401824	彼はやっと問題点に気付きました。	かれ は やっと もんだい てん に きづきました 。 
V0000401825	私立の大学は学費が高い。	しりつ の だいがく は がくひ が たかい 。 
V0000401826	最近、事件の真相が明らかになったよ。	さいきん 、 じけん の しんそう が あきらか に なった よ 。 
V0000401827	背中がかゆい。	せなか が かゆい 。 
V0000401828	彼は一流の選手です。	かれ は いちりゅう の せんしゅ です 。 
V0000401829	皆が人質の無事を祈っているわよ。	みな が ひとじち の ぶじ を いのっている わ よ 。 
V0000401830	勝手なことばかり言わないでくれ。	かって な こと ばかり いわない でくれ 。 
V0000401831	彼女は体調を崩しています。	かのじょ は たいちょう を くずしています 。 
V0000401832	メールを経由して広がるウィルスもあります。	メール を けいゆ して ひろがる ウィルス も あります 。 
V0000401833	では、私たちは先に出発します。	では 、 わたし たち は さき に しゅっぱつ します 。 
V0000401834	政治は国民主体であるべきです。	せいじ は こくみん しゅたい で ある べき です 。 
V0000401835	この小説の主題は反戦です。	この しょうせつ の しゅだい は はんせん です 。 
V0000401836	この通りには商店が多いね。	この とおり に は しょうてん が おおい ね 。 
V0000401837	いつまでもあなたを忘れません。	いつ まで も あなた を わすれません 。 
V0000401838	彼は拳銃で撃たれたわ。	かれ は けんじゅう で うたれた わ 。 
V0000401839	この絵はスペインの画家が描きました。	この え は スペイン の がか が えがきました 。 
V0000401840	父はラッシュアワーを嫌っています。	ちち は ラッシュアワー を きらっています 。 
