V0000345781	中止？私は何も聞いてないぞ。 
V0000348043	これはいいお肉だからやわらかいの。お肉も食べて！ 
V0000348044	さっきから、クミは、人の世話ばかりしているな。	
V0000348045	さっきから、クミは、人の世話ばかりしているな。 
V0000348046	お母さんみたいだ...。なぁ、タロウ。	
V0000348047	お母さんみたいだ...。なぁ、タロウ。 
V0000348048	危ない
V0000348049	かかる
V0000348050	くらい
V0000348051	遠い
V0000348052	決める
V0000348053	おばあちゃん
V0000348054	おじいちゃん
V0000348055	後
V0000348056	卒業
V0000348057	先週
V0000348058	レポート
V0000348059	最後
V0000348060	大丈夫
V0000348061	最後のレポート、書き終わったか？	
V0000348062	最後のレポート、書き終わったか？ 
V0000348063	うん。先週、書き終えたよ。	
V0000348064	うん。先週、書き終えたよ。 
V0000348065	卒業の後、どうする？働き始める？	
V0000348066	卒業の後、どうする？働き始める？ 
V0000348067	日本に行く。	
V0000348068	日本に行く。 
V0000348069	日本？	
V0000348070	日本？ 
V0000348071	日本は面白い国だよ。日本には侍と芸者がいるんだ。	
V0000348072	日本は面白い国だよ。日本には侍と芸者がいるんだ。 
V0000348073	へぇ…。決めた！俺も日本へ行く。	
V0000348074	へぇ…。決めた！俺も日本へ行く。 
V0000348075	え？本当？でも、日本人は魚が好きだから、ちょっと危ないよ。	
V0000348076	え？本当？でも、日本人は魚が好きだから、ちょっと危ないよ。 
V0000348077	忙しい
V0000348078	向かう
V0000348079	利根川
V0000348080	オープンする
V0000348081	パチンコ屋
V0000348082	怖い
V0000348083	針
V0000348084	入院する
V0000348085	おじさん
V0000348086	ナマズ
V0000348087	隣の
V0000348088	ミミズ
V0000348089	食事する
V0000348090	急ぐ
V0000348091	ねぇ、ウナ助君、今、忙しい？	
V0000348092	ねぇ、ウナ助君、今、忙しい？ 
V0000348093	いや、食事しているところだけど、何？	
V0000348094	いや、食事しているところだけど、何？ 
V0000348095	あ、そのミミズ　だめだよ。	
V0000348096	あ、そのミミズ　だめだよ。 
V0000348097	え？おお。本当だ。針がある。日本人は怖いな。	
V0000348098	え？おお。本当だ。針がある。日本人は怖いな。 
V0000348099	ねぇ、隣の川に新しいパチンコ屋がオープンしたんだ。行かない？	
V0000348100	ねぇ、隣の川に新しいパチンコ屋がオープンしたんだ。行かない？ 
V0000348101	パチンコ？行く。行く。	
V0000348102	パチンコ？行く。行く。 
V0000348103	あれ？ウナ吉君？	
V0000348104	あれ？ウナ吉君？ 
V0000348105	あ、ウナ美ちゃん！ウナ美ちゃんも利根川に来たの？	
V0000348106	あ、ウナ美ちゃん！ウナ美ちゃんも利根川に来たの？ 
V0000348107	かわいい
V0000348108	負ける
V0000348109	勝つ
V0000348110	ついている
V0000348111	リーチ
V0000348112	だめ
V0000348113	産卵する
V0000348114	多分
V0000348115	結婚する
V0000348116	年上
V0000348117	紹介する
V0000348118	今度
V0000348119	おごります
V0000348120	おいおい、かわいいうなぎだなぁ。今度紹介して。	
V0000348121	おいおい、かわいいうなぎだなぁ。今度紹介して。 
V0000348122	（パチンコ屋）	
V0000348123	ウナ助君、どう？出てる？	
V0000348124	ウナ助君、どう？出てる？ 
V0000348125	・・・一時間後・・・	
V0000348126	はっはっはー！ついているね。１０万も勝ったよ！。	
V0000348127	はっはっはー！ついているね。１０万も勝ったよ！。 
V0000348128	いいなぁ。僕は３万も負けてしまったよ。ついてない・・・。	
V0000348129	いいなぁ。僕は３万も負けてしまったよ。ついてない・・・。 
V0000348130	よし！今日は、俺が美味しいミミズのさしみをおごるよ。	
V0000348131	よし！今日は、俺が美味しいミミズのさしみをおごるよ。 
V0000348132	飲み物
V0000348133	モモンガ
V0000348134	以上
V0000348135	かしこまりました。
V0000348136	ドレッシング
V0000348137	ガーデンサラダ
V0000348138	注文
V0000348139	グレープ フルーツ ジュース
V0000348140	お決まりですか
V0000348141	少々
V0000348142	お飲み物はお決まりですか。	
V0000348143	お飲み物はお決まりですか。 
V0000348144	グレープフルーツジュース、お願いします。	
V0000348145	グレープフルーツジュース、お願いします。 
V0000348146	かしこまりました。	
V0000348147	かしこまりました。 
V0000348148	グレープフルーツジュースです。どうぞ。	
V0000348149	グレープフルーツジュースです。どうぞ。 
V0000348150	注文いいですか。	
V0000348151	注文いいですか。 
V0000348152	はい、どうぞ。	
V0000348153	はい、どうぞ。 
V0000348154	えっと、ガーデンサラダを一つと、、、	
V0000348155	えっと、ガーデンサラダを一つと、、、 
V0000348156	はい。	
V0000348157	はい。 
V0000348158	ドレッシングなしで、お願いします。	
V0000348159	ドレッシングなしで、お願いします。 
V0000348160	ガーデンサラダを、ドレッシングなしで。…かしこまりました。	
V0000348161	ガーデンサラダを、ドレッシングなしで。…かしこまりました。 
V0000348162	あとは…えっと…あっ！そうそうそう、モモンガのチーズメンチカツを一つ。	
V0000348163	あとは…えっと…あっ！そうそうそう、モモンガのチーズメンチカツを一つ。 
V0000348164	モモンガチーズメンチですね…以上で？	
V0000348165	モモンガチーズメンチですね…以上で？ 
V0000348166	はい。以上です。	
V0000348167	はい。以上です。 
V0000348168	かしこまりました。少々お待ちください。	
V0000348169	かしこまりました。少々お待ちください。 
V0000348170	ごゆっくりどうぞ
V0000348171	吐く
V0000348172	かかる
V0000348173	げっ
V0000348174	おえっ
V0000348175	半生
V0000348176	ヌケ作
V0000348177	お待たせいたしました！ガーデンサラダとモモンガのチーズメンチカツでございます！	
V0000348178	お待たせいたしました！ガーデンサラダとモモンガのチーズメンチカツでございます！ 
V0000348179	どうも。	
V0000348180	どうも。 
V0000348181	ごゆっくりどうぞ。	
V0000348182	ごゆっくりどうぞ。 
V0000348183	まずっ！なんだこれ？食べられねぇよ。	
V0000348184	まずっ！なんだこれ？食べられねぇよ。 
V0000348185	サラダは大丈夫かな。げっ！ドレッシングかかってる。	
V0000348186	サラダは大丈夫かな。げっ！ドレッシングかかってる。 
V0000348187	はい！	
V0000348188	はい！ 
V0000348189	あの、このモモンガチーズメンチ、半生ですよ！	
V0000348190	あの、このモモンガチーズメンチ、半生ですよ！ 
V0000348191	申し訳ございません！グレープフルーツジュースはいかかでしょうか。	
V0000348192	申し訳ございません！グレープフルーツジュースはいかかでしょうか。 
V0000348193	死ぬ
V0000348194	うまい
V0000348195	やばい
V0000348196	初めて
V0000348197	料理
V0000348198	おすすめ
V0000348199	焼肉屋
V0000348200	他の
V0000348201	食事
V0000348202	大変、お待たせいたしました。	
V0000348203	大変、お待たせいたしました。 
V0000348204	死ぬほどうまい！このサラダやばい！	
V0000348205	死ぬほどうまい！このサラダやばい！ 
V0000348206	ありがとうございます。このモモンガはいかがでしょうか。	
V0000348207	ありがとうございます。このモモンガはいかがでしょうか。 
V0000348208	えぇ？ふ～ん。	
V0000348209	えぇ？ふ～ん。 
V0000348210	いかがでしょうか。	
V0000348211	いかがでしょうか。 
V0000348212	うまい!!こんなうまい料理は初めてだ！	
V0000348213	うまい!!こんなうまい料理は初めてだ！ 
V0000348214	王子
V0000348215	昔
V0000348216	ファンクラブ
V0000348217	時々
V0000348218	コンサート
V0000348219	熱烈な
V0000348220	王女
V0000348221	噂
V0000348222	一番君、「おにぎり王子」知っていますか。	
V0000348223	一番君、「おにぎり王子」知っていますか。 
V0000348224	はい、僕は昔から、大ファンなんですよ。	
V0000348225	はい、僕は昔から、大ファンなんですよ。 
V0000348226	へー、熱烈なファンですね。	
V0000348227	へー、熱烈なファンですね。 
V0000348228	えっ、あの噂の！？	
V0000348229	えっ、あの噂の！？ 
V0000348230	登場
V0000348231	大ファン
V0000348232	今度
V0000348233	サイン
V0000348234	入れる
V0000348235	タコウインナー
V0000348236	中身
V0000348237	お弁当
V0000348238	追いかける
V0000348239	必ず
V0000348240	おにぎり王子とおにぎり王女！追いかけよう！！	
V0000348241	おにぎり王子とおにぎり王女！追いかけよう！！ 
V0000348242	ねえダーリン、今度、お弁当作るから、ピクニックに行きましょう。	
V0000348243	ねえダーリン、今度、お弁当作るから、ピクニックに行きましょう。 
V0000348244	本当に！！じゃあ、あとタコウインナーも作って。	
V0000348245	本当に！！じゃあ、あとタコウインナーも作って。 
V0000348246	ええっ、タコウインナーは、作ったことがないんだけど。	
V0000348247	ええっ、タコウインナーは、作ったことがないんだけど。 
V0000348248	だって、僕のママは、必ずタコウインナーをお弁当に入れるよ。	
V0000348249	だって、僕のママは、必ずタコウインナーをお弁当に入れるよ。 
V0000348250	事務所
V0000348251	デート
V0000348252	じゃま
V0000348253	態度
V0000348254	柔道
V0000348255	投げる
V0000348256	ごめんねぇ。事務所がうるさくて、僕はサインすることができないんだ。	
V0000348257	ごめんねぇ。事務所がうるさくて、僕はサインすることができないんだ。 
V0000348258	（アオ怒る）	
V0000348259	なによ！その態度！！	
V0000348260	なによ！その態度！！ 
V0000348261	私は、柔道三段だから、あなた達を投げることができるのよ！！	
V0000348262	私は、柔道三段だから、あなた達を投げることができるのよ！！ 
V0000348263	ひい～、分かりました～。サインします。	
V0000348264	ひい～、分かりました～。サインします。 
V0000348265	あ、ありがとうございます。	
V0000348266	あ、ありがとうございます。 
V0000348267	じゃ、じゃあ、さようなら。	
V0000348268	じゃ、じゃあ、さようなら。 
V0000348269	20世紀
V0000348270	小学校
V0000348271	卒業
V0000348272	埋める
V0000348273	賛成
V0000348274	集合
V0000348275	掘る
V0000348276	目印
V0000348277	銀杏
V0000348278	今日で２０世紀最後だね。	
V0000348279	今日で２０世紀最後だね。 
V0000348280	うん。そして、来年は私たちももう小学校卒業ね。	
V0000348281	うん。そして、来年は私たちももう小学校卒業ね。 
V0000348282	なあなあ、おれたち３人でタイムカプセルを埋めようぜ？	
V0000348283	なあなあ、おれたち３人でタイムカプセルを埋めようぜ？ 
V0000348284	賛成！！	
V0000348285	賛成！！ 
V0000348286	（ゾウさん公園）	
V0000348287	じゃあ、みんな準備は良いか。	
V0000348288	じゃあ、みんな準備は良いか。 
V0000348289	みんなの持ってきた物を、ここに埋めておこう。	
V0000348290	みんなの持ってきた物を、ここに埋めておこう。 
V0000348291	同窓会
V0000348292	以来
V0000348293	振り
V0000348294	ブタ
V0000348295	違う
V0000348296	まき！はじめ！久しぶり！	
V0000348297	まき！はじめ！久しぶり！ 
V0000348298	久しぶり！小学校以来だな。	
V0000348299	久しぶり！小学校以来だな。 
V0000348300	そうよね。だから、２８年ぶりじゃない。	
V0000348301	そうよね。だから、２８年ぶりじゃない。 
V0000348302	なあ、みんな、昔タイムカプセル埋めたよな？掘ってみようぜ！	
V0000348303	なあ、みんな、昔タイムカプセル埋めたよな？掘ってみようぜ！ 
V0000348304	あぁ！そうそう、「ブタさん公園」に埋めたよな？	
V0000348305	あぁ！そうそう、「ブタさん公園」に埋めたよな？ 
V0000348306	マクドナルド
V0000348307	ちゃんと
V0000348308	腹ごしらえする
V0000348309	売り切れる
V0000348310	ポテト
V0000348311	あれ？ぞうさん公園がない。マクドナルドになってしまったよ。	
V0000348312	あれ？ぞうさん公園がない。マクドナルドになってしまったよ。 
V0000348313	本当だ。とにかくマクドナルドに入ってみよう。	
V0000348314	本当だ。とにかくマクドナルドに入ってみよう。 
V0000348315	いらっしゃいませ。	
V0000348316	いらっしゃいませ。 
V0000348317	あのー、ハンバーガーひとつ下さい。	
V0000348318	あのー、ハンバーガーひとつ下さい。 
V0000348319	はじめ！ちゃんと公園について聞いて。	
V0000348320	はじめ！ちゃんと公園について聞いて。 
V0000348321	まずは腹ごしらえしておこうよ。	
V0000348322	まずは腹ごしらえしておこうよ。 
V0000348323	じゃあ、僕はチーズバーガーで。	
V0000348324	じゃあ、僕はチーズバーガーで。 
V0000348325	申し訳ございません。チーズバーガーは、売り切れてしまいました。	
V0000348326	申し訳ございません。チーズバーガーは、売り切れてしまいました。 
P0000150333	じゃあ、ポテトの
P0000150333	で。	
P0000150334	じゃあ、ポテトの
P0000150334	で。 
V0000348327	いっぱい
V0000348328	店員
V0000348329	工事
V0000348330	裏
V0000348331	残る
V0000348332	お腹
V0000348333	なる
V0000348334	はじめ、まだ食べているのー？	
V0000348335	はじめ、まだ食べているのー？ 
V0000348336	（モグモグ）ごちそうさまでした。よし、お腹も一杯になったし、店員さんにゾウさん公園についてきいてみよう。	
V0000348337	（モグモグ）ごちそうさまでした。よし、お腹も一杯になったし、店員さんにゾウさん公園についてきいてみよう。 
V0000348338	はい。	
V0000348339	はい。 
V0000348340	ここのマクドナルドって、昔は公園でしたよね。	
V0000348341	ここのマクドナルドって、昔は公園でしたよね。 
V0000348342	はい、３年前に工事して、公園はなくなってしまいました。	
V0000348343	はい、３年前に工事して、公園はなくなってしまいました。 
V0000348344	そうですか。。。	
V0000348345	そうですか。。。 
V0000348346	じゃあ、イチョウの木もないですよね。	
V0000348347	じゃあ、イチョウの木もないですよね。 
V0000348348	あっ、それだったら、裏に残っていますよ。	
V0000348349	あっ、それだったら、裏に残っていますよ。 
V0000348350	缶
V0000348351	開ける
V0000348352	覚える
V0000348353	下手
V0000348354	字
V0000348355	きけん（危険）
V0000348356	あった！！あのイチョウの木よ！！	
V0000348357	あった！！あのイチョウの木よ！！ 
V0000348358	じゃあ、俺たちのタイムカプセルは、この木の下に埋めてあるんだね。	
V0000348359	じゃあ、俺たちのタイムカプセルは、この木の下に埋めてあるんだね。 
V0000348360	（掘る）	
V0000348361	あった！！あったぞ！！	
V0000348362	あった！！あったぞ！！ 
V0000348363	じゃあ、缶を開けてみましょう。	
V0000348364	じゃあ、缶を開けてみましょう。 
V0000348365	何を入れたんだ？全然覚えてないよ。	
V0000348366	何を入れたんだ？全然覚えてないよ。 
V0000348367	あ、缶に何か書いてある...。	
V0000348368	あ、缶に何か書いてある...。 
V0000348369	下手な字ね。	
V0000348370	下手な字ね。 
V0000348371	(ドッカーン）	
V0000348372	会計
V0000348373	何人前
V0000348374	ごちそうさま。
V0000348375	１人前
V0000348376	焼肉
V0000348377	気持ち悪い
V0000348378	払う
V0000348379	先輩
V0000348380	半分
V0000348381	マジ
V0000348382	終電
V0000348383	お会計、3万5600円でございます。	
V0000348384	お会計、3万5600円でございます。 
V0000348385	2人で、3万？5600円？うわっマジ？たけーな。	
V0000348386	2人で、3万？5600円？うわっマジ？たけーな。 
V0000348387	先輩、本当にいいんですか？僕、半分払いますよ。	
V0000348388	先輩、本当にいいんですか？僕、半分払いますよ。 
V0000348389	いいよ。	
V0000348390	いいよ。 
V0000348391	そうですか。いつもすみません。ごちそうさまです。	
V0000348392	そうですか。いつもすみません。ごちそうさまです。 
V0000348393	お前、食べ過ぎたんだよ。焼肉15人前も注文して…。どんだけだよ。	
V0000348394	お前、食べ過ぎたんだよ。焼肉15人前も注文して…。どんだけだよ。 
V0000348395	あ、先輩、しゅ、終電が…。	
V0000348396	あ、先輩、しゅ、終電が…。 
V0000348397	しまった! ゆっくり歩き過ぎた!	
V0000348398	しまった! ゆっくり歩き過ぎた! 
V0000348399	タクシー代
V0000348400	貸す
V0000348401	かかります
V0000348402	現金
V0000348403	漫画喫茶
V0000348404	泊まる
V0000348405	寂しい
V0000348406	あのぉ、先輩。大変言いにくいのですが、タクシー代を貸してください。	
V0000348407	あのぉ、先輩。大変言いにくいのですが、タクシー代を貸してください。 
V0000348408	え？俺も、もう現金ねーよ。	
V0000348409	え？俺も、もう現金ねーよ。 
V0000348410	じゃ、僕のお気に入りの漫画喫茶に泊まりましょう。	
V0000348411	じゃ、僕のお気に入りの漫画喫茶に泊まりましょう。 
V0000348412	「泊まりましょう？」俺はタクシーで帰るよ。	
V0000348413	「泊まりましょう？」俺はタクシーで帰るよ。 
V0000348414	え～。先輩。お願いしますぅ。	
V0000348415	え～。先輩。お願いしますぅ。 
V0000348416	嫌だよ。	
V0000348417	嫌だよ。 
V0000348418	え～。一人では入りにくいし、寂しいし…。（泣）	
V0000348419	え～。一人では入りにくいし、寂しいし…。（泣） 
V0000348420	付き合う
V0000348421	漫画
V0000348422	両方とも
V0000348423	黙る
V0000348424	部長
V0000348425	名作
V0000348426	査定
V0000348427	勤務
V0000348428	お勧め
V0000348429	会社
V0000348430	アニメ
V0000348431	先輩は本当に付き合いやすい人ですね。	
V0000348432	先輩は本当に付き合いやすい人ですね。 
V0000348433	うるさいな。	
V0000348434	うるさいな。 
V0000348435	先輩、何を読んでるんですか。	
V0000348436	先輩、何を読んでるんですか。 
V0000348437	ウォールストリートジャーナル？ダメダメ。僕のお勧めは「ナナ」と「猫村さん」です。	
V0000348438	ウォールストリートジャーナル？ダメダメ。僕のお勧めは「ナナ」と「猫村さん」です。 
V0000348439	顔色
V0000348440	ライバル
V0000348441	しめしめ
V0000348442	くだらない
V0000348443	騙す
V0000348444	推薦する
V0000348445	駐在員
V0000348446	ふざける
V0000348447	名作
V0000348448	全巻
V0000348449	徹夜
V0000348450	夕べ
V0000348451	減る
V0000348452	失礼します。	
V0000348453	失礼します。 
V0000348454	おお、星野君。顔色が悪いけれど、大丈夫か？	
V0000348455	おお、星野君。顔色が悪いけれど、大丈夫か？ 
V0000348456	いえいえ、実は夕べ、漫画を読んで徹夜してしまいまして。	
V0000348457	いえいえ、実は夕べ、漫画を読んで徹夜してしまいまして。 
V0000348458	何？漫画？	
V0000348459	何？漫画？ 
V0000348460	ええ。ナナを全巻と猫村さんを全巻読みました。	
V0000348461	ええ。ナナを全巻と猫村さんを全巻読みました。 
V0000348462	君、ふざけているのか？君をニューヨークの駐在員に推薦するつもりだったが、	
V0000348463	君、ふざけているのか？君をニューヨークの駐在員に推薦するつもりだったが、 
V0000348464	皆さん
V0000348465	今年
V0000348466	会う
V0000348467	結婚する
V0000348468	成田市
V0000348469	千葉県
V0000348470	足立区
V0000348471	東京都
V0000348472	彼女
V0000348473	名前
V0000348474	プロボクサー
V0000348475	出身
V0000348476	緊張する
V0000348477	皆さん、こんにちは。はじめまして。大空晴夜（おおぞらはるや）と申します。	
V0000348478	皆さん、こんにちは。はじめまして。大空晴夜（おおぞらはるや）と申します。 
V0000348479	こんにちは。天道美雨（てんどう　みう）と申します。	
V0000348480	こんにちは。天道美雨（てんどう　みう）と申します。 
V0000348481	犬
V0000348482	久しぶり。
V0000348483	こちら
V0000348484	彼氏
V0000348485	母
V0000348486	あら
V0000348487	つまらない
V0000348488	ママー。ただいま。	
V0000348489	ママー。ただいま。 
V0000348490	おかえりなさい。美雨ちゃん。あら？	
V0000348491	おかえりなさい。美雨ちゃん。あら？ 
V0000348492	ママ、こちら、大空晴夜さん。私の彼氏。	
V0000348493	ママ、こちら、大空晴夜さん。私の彼氏。 
V0000348494	はじめまして。美雨の母です。よろしく。	
V0000348495	はじめまして。美雨の母です。よろしく。 
V0000348496	あ、どうもはじめまして。大空晴夜と申します。	
V0000348497	あ、どうもはじめまして。大空晴夜と申します。 
V0000348498	さあ、お上がりください。どうぞ、どうぞ。	
V0000348499	さあ、お上がりください。どうぞ、どうぞ。 
V0000348500	おじゃまします。	
V0000348501	おじゃまします。 
V0000348502	あら、わざわざすみません。	
V0000348503	あら、わざわざすみません。 
V0000348504	今年
V0000348505	いくつ
V0000348506	才
V0000348507	兄弟
V0000348508	一人
V0000348509	出身
V0000348510	足立区
V0000348511	来る
V0000348512	パパ
V0000348513	晴夜さんは、おいくつですか。	
V0000348514	晴夜さんは、おいくつですか。 
V0000348515	あ、今年、三十一です。	
V0000348516	あ、今年、三十一です。 
V0000348517	あら、三十一才？...ご兄弟がいますか。	
V0000348518	あら、三十一才？...ご兄弟がいますか。 
V0000348519	いえ、母一人。子一人です。	
V0000348520	いえ、母一人。子一人です。 
V0000348521	そうですか。...ご出身は？	
V0000348522	そうですか。...ご出身は？ 
V0000348523	足立区です。	
V0000348524	足立区です。 
V0000348525	あ、パパだ。晴夜、パパ、来るよ。	
V0000348526	あ、パパだ。晴夜、パパ、来るよ。 
V0000348527	（ゴクリ）	
V0000348528	（ゴクリ） 
V0000348529	お嬢さん
V0000348530	一緒に
V0000348531	君
V0000348532	それとも
V0000348533	金
V0000348534	欲しい
V0000348535	結婚する
V0000348536	ずっと
V0000348537	ぼく
V0000348538	俺
V0000348539	パパ
V0000348540	（天道家） は、はじめまして。大空晴夜と申します。	
V0000348541	（天道家） は、はじめまして。大空晴夜と申します。 
V0000348542	は？	
V0000348543	は？ 
V0000348544	あ、あのぉ。お、お、お父さん！お嬢さんを 下さい！	
V0000348545	あ、あのぉ。お、お、お父さん！お嬢さんを 下さい！ 
V0000348546	は？	
V0000348547	は？ 
V0000348548	お、お、俺は、美雨と ずっと一緒に いたいです。	
V0000348549	お、お、俺は、美雨と ずっと一緒に いたいです。 
V0000348550	美雨と 結婚したいです。	
V0000348551	美雨と 結婚したいです。 
V0000348552	俺...。美雨...。（フン）	
V0000348553	俺...。美雨...。（フン） 
V0000348554	あ...すみません。僕は 美雨さんと 結婚したいです。	
V0000348555	あ...すみません。僕は 美雨さんと 結婚したいです。 
V0000348556	お、お嬢さんを 下さい。	
V0000348557	お、お嬢さんを 下さい。 
V0000348558	君は...何が 欲しい？金か？家か？あ？	
V0000348559	君は...何が 欲しい？金か？家か？あ？ 
V0000348560	それとも うちの会社が 欲しいのか？	
V0000348561	それとも うちの会社が 欲しいのか？ 
V0000348562	パパ！	
V0000348563	パパ！ 
V0000348564	お子さん
V0000348565	二番目
V0000348566	変
V0000348567	早く
V0000348568	考える
V0000348569	心配
V0000348570	本当に
V0000348571	独身
V0000348572	息子
V0000348573	娘
V0000348574	孫
V0000348575	実は
V0000348576	天道社長、元気がありませんね。どうしましたか。	
V0000348577	天道社長、元気がありませんね。どうしましたか。 
V0000348578	いえ。実は、昨日　娘の彼氏と　会いました。	
V0000348579	いえ。実は、昨日　娘の彼氏と　会いました。 
V0000348580	おお、いいですね。	
V0000348581	おお、いいですね。 
V0000348582	でもねぇ・・・。変な男ですよ。好きじゃないですね。本当に心配です。	
V0000348583	でもねぇ・・・。変な男ですよ。好きじゃないですね。本当に心配です。 
V0000348584	ええ。息子が 二人、娘が 一人 います。	
V0000348585	ええ。息子が 二人、娘が 一人 います。 
V0000348586	そうですか。(ため息) 早く、孫の顔が 見たいですが、あの 二人の結婚は 考えたくないですね。	
V0000348587	そうですか。(ため息) 早く、孫の顔が 見たいですが、あの 二人の結婚は 考えたくないですね。 
V0000348588	じゃあ、うちの二番目の息子は どうですか。独身ですよ。	
V0000348589	じゃあ、うちの二番目の息子は どうですか。独身ですよ。 
V0000348590	山川先生の息子さんですか？	
V0000348591	山川先生の息子さんですか？ 
V0000348592	有名（な）
V0000348593	呼ぶ
V0000348594	下手
V0000348595	上手
V0000348596	プレーする
V0000348597	教える
V0000348598	苦手
V0000348599	パター
V0000348600	週末
V0000348601	毎週
V0000348602	歩く
V0000348603	ゴルフコース
V0000348604	ゴルフ
V0000348605	プロゴルファー
V0000348606	サラリーマン
V0000348607	先生の 息子さん？あの、有名な プロゴルファーの山川ひょうさん？	
V0000348608	先生の 息子さん？あの、有名な プロゴルファーの山川ひょうさん？ 
V0000348609	いや、あれは一番目の息子です。次男はサラリーマンです。	
V0000348610	いや、あれは一番目の息子です。次男はサラリーマンです。 
V0000348611	ええ。ゴルフコースを 歩くのが 大好きです。	
V0000348612	ええ。ゴルフコースを 歩くのが 大好きです。 
V0000348613	毎週末、ゴルフを しますが、ゴルフは 難しいですよ。	
V0000348614	毎週末、ゴルフを しますが、ゴルフは 難しいですよ。 
V0000348615	元気（な）
V0000348616	ママ
V0000348617	毎日
V0000348618	忙しい
V0000348619	代わる
V0000348620	今週
V0000348621	もしもし、ママ?	
V0000348622	もしもし、ママ? 
V0000348623	あらー、美雨ちゃん。元気？	
V0000348624	あらー、美雨ちゃん。元気？ 
V0000348625	うん。まぁ、元気。	
V0000348626	うん。まぁ、元気。 
V0000348627	ママは 元気そうね。パパは 元気？	
V0000348628	ママは 元気そうね。パパは 元気？ 
V0000348629	お父さんは、忙しそうだけれど、元気よ。	
V0000348630	お父さんは、忙しそうだけれど、元気よ。 
V0000348631	お父さんと 代わりましょうか？	
V0000348632	お父さんと 代わりましょうか？ 
V0000348633	え？パパいるの？	
V0000348634	え？パパいるの？ 
V0000348635	ええ。ここにいるわよ。代わりましょうか。	
V0000348636	ええ。ここにいるわよ。代わりましょうか。 
V0000348637	あ、ううん。いい。	
V0000348638	あ、ううん。いい。 
V0000348639	飲み物
V0000348640	ピラニア
V0000348641	刺身
V0000348642	手伝う
V0000348643	水
V0000348644	ミルク
V0000348645	砂糖
V0000348646	何でも
V0000348647	紅茶
V0000348648	えさ
V0000348649	飲み物は何にしますか？	
V0000348650	飲み物は何にしますか？ 
V0000348651	あ、、、な、何でもいいです。	
V0000348652	あ、、、な、何でもいいです。 
V0000348653	じゃ、紅茶を飲みませんか。	
V0000348654	じゃ、紅茶を飲みませんか。 
V0000348655	お砂糖とミルクは？	
V0000348656	お砂糖とミルクは？ 
V0000348657	あ、、、、どちらでもいいです。	
V0000348658	あ、、、、どちらでもいいです。 
V0000348659	（プッ）晴夜（はるや）さん...。飲みたいの？飲みたくないの？	
V0000348660	（プッ）晴夜（はるや）さん...。飲みたいの？飲みたくないの？ 
V0000348661	あ、す、す、すみません。じゃ、水を下さい。水が飲みたいです。	
V0000348662	あ、す、す、すみません。じゃ、水を下さい。水が飲みたいです。 
V0000348663	あ、手伝いましょうか。・・・あ、お刺身ですか。	
V0000348664	あ、手伝いましょうか。・・・あ、お刺身ですか。 
V0000348665	そう、ピラニアのえさ。	
V0000348666	そう、ピラニアのえさ。 
V0000348667	掃除
V0000348668	入れる
V0000348669	バケツ
V0000348670	スイッチ
V0000348671	つける
V0000348672	ホース
V0000348673	開ける
V0000348674	ふた
V0000348675	気をつける
V0000348676	水槽
V0000348677	ネット
V0000348678	手袋
V0000348679	捕まえる
V0000348680	ピラニア？	
V0000348681	ピラニア？ 
V0000348682	じゃあ、晴夜さん。掃除をお願いします。	
V0000348683	じゃあ、晴夜さん。掃除をお願いします。 
V0000348684	はい、手袋とネット。	
V0000348685	はい、手袋とネット。 
V0000348686	え？	
V0000348687	え？ 
V0000348688	まず、その手袋をつけてください。	
V0000348689	まず、その手袋をつけてください。 
V0000348690	一緒に、ピラニアの水槽の掃除をしましょう。楽しいですよ。でも、気をつけてください。	
V0000348691	一緒に、ピラニアの水槽の掃除をしましょう。楽しいですよ。でも、気をつけてください。 
V0000348692	ええ？	
V0000348693	ええ？ 
V0000348694	これ、家のピラニアちゃん。	
V0000348695	これ、家のピラニアちゃん。 
V0000348696	はい、水槽のふたを開けてください。	
V0000348697	はい、水槽のふたを開けてください。 
V0000348698	次に、ホースを入れてください。	
V0000348699	次に、ホースを入れてください。 
V0000348700	スイッチを入れてください。	
V0000348701	スイッチを入れてください。 
V0000348702	それから、このバケツにピラニアを入れてください。気をつけて。	
V0000348703	それから、このバケツにピラニアを入れてください。気をつけて。 
V0000348704	バケツに？ピラニアを？（ゴクッ）	
V0000348705	バケツに？ピラニアを？（ゴクッ） 
V0000348706	さあ、早く、ピラニアを捕まえて。	
V0000348707	さあ、早く、ピラニアを捕まえて。 
V0000348708	冷たい
V0000348709	貸す
V0000348710	トイレ
V0000348711	二十分
V0000348712	ゴルフ場
V0000348713	飲む
V0000348714	休む
V0000348715	終わる
V0000348716	（ふう）終わりました。	
V0000348717	（ふう）終わりました。 
V0000348718	ありがとう、晴夜さん。休んでください。	
V0000348719	ありがとう、晴夜さん。休んでください。 
V0000348720	はい、冷たいお茶。どうぞ。飲んでくださいね。	
V0000348721	はい、冷たいお茶。どうぞ。飲んでくださいね。 
V0000348722	あ、ありがとうございます。（ゴクゴクゴクゴク）	
V0000348723	あ、ありがとうございます。（ゴクゴクゴクゴク） 
V0000348724	はい。天道でございます。	
V0000348725	はい。天道でございます。 
V0000348726	あら、パパ。	
V0000348727	あら、パパ。 
V0000348728	コンビニ
V0000348729	妻
V0000348730	とめる
V0000348731	上がる
V0000348732	時間
V0000348733	メートル
V0000348734	信号
