V0000278412	メアリーさん、週末はたいてい何をしますか。	メアリーさん、しゅうまつはたいていなにをしますか 
V0000280187	悪天候が式を台無しにした。	あくてんこうがしきをだいなしにした 
V0000280188	彼は働きすぎで健康を台無しにした。	かれははたらきすぎでけんこうをだいなしにした 
V0000280189	彼女の美貌もその傷で台無しになった。	かのじょのびぼうもそのきずでだいなしになった 
V0000280190	そのホテルは贅沢な雰囲気がある。	そのホテルはぜいたくなふんいきがある 
V0000280191	芸術は贅沢品ではない、必需品だ。	げいじゅつはぜいたくひんではない、ひつじゅひんだ 
V0000280192	私はいつも祖父母の元気さに驚きます。	わたしはいつもそふぼのげんきさにおどろきます 
V0000280193	子供がどんなに速く成長するかを見るのは驚きだった。	こどもはどんなにはやくせいちょうするかをみるのはおどろきだった 
V0000280194	彼女は成長して美人になった。	かのじょはせいちょうしてびじんになった 
V0000280195	見かけで判断するな。	みかけではんだんするな 
V0000280196	それは明らかに判断の誤りだった。	それはあきらかにはんだんのあやまりだった 
V0000280197	彼は状況を判断してからすぐ行動に移った。	かれはじょうきょうをはんだんしてからすぐこうどうにうつった 
V0000280198	様子から判断すれば、彼は兵士かもしれない。	ようすからはんだんすれば、かれはへいしかもしれない 
V0000280199	我々の判断は正しかったと私は十分確認している。	われわれのはんだんはただしかったとわたしはじゅうぶんかくにんしている 
V0000280200	この作文には誤りが少しある。	このさくぶんにはあやまりがすこしある 
V0000280201	しばらくして彼は自分の誤りに気づいた。	しばらくしてかれはじぶんのあやまりにきづいた 
V0000280202	彼女は７行に７個の誤りをしたようだ。	かのじょは７ぎょうに７このあやまりをしたようだ 
V0000280203	誤りをおかすことを恐れてはいけません。	あやまりをおかすことをおそれてはいけません 
V0000280204	暗くなってきた。直に雨が降るかも知れない。	くらくなってきた。じきにあめがふるかもしれない 
V0000280205	彼はまた曖昧な事を言うかも知れない。	かれはまたあいまいなことをいうかもしれない 
V0000280206	その法律には曖昧な点が多い。	そのほうりつにはあいまいなてんがおおい 
V0000280207	契約には曖昧な箇所があってはならない。	けいやくにはあいまいなかしょがあってはならない 
V0000280208	これはその分析を始めるのに良い箇所だ。	これはそのぶんせきをはじめるのいよいかしょだ 
V0000280209	この分析では次の結果が出ている。	このぶんせきでつぎのけっかがでている 
V0000280210	彼は財布を失くしてしまって不機嫌だった。	かれはさいふをなくしてしまってふきげんだった 
V0000280211	彼は私同様、中国語は読めない。	かれはわたしどうよう、ちゅごくごはよめない 
V0000280212	彼は握手を求めて私に手を差し出した。	かれはあくしゅをもとめてわたしにてをさしだした 
V0000280213	政治犯は警察権力に反抗した。	せいじはんはけいさつけんりょくにはんこうした 
V0000280214	あなたはアメリカで日本料理が恋しくなるでしょう。	あなたはアメリカでにほんりょうりがこいしくなるでしょう 
V0000280215	私は彼女のような女の子に恋してしまって後悔している。	わたしはかのじょのようおんなのこにこいしてしまってこうかいしている 
V0000280216	途中で止めたら後悔するぜ。	とちゅうでとめたらこうかいするぜ 
V0000280217	私は若い頃怠惰であったことを後悔している。	わたしはわかいごろたいだであったことをこうかいしている 
V0000280218	彼は彼女からその本を借りたことを後悔した。	かれはかのじょからそのほんをかりたことをこうかいした 
V0000280219	私は彼の忠告に従わなかったことを後悔している。	わたしはかれのちゅうこくにしたがわなかったをこうかいしている 
V0000280220	黙っていなさい。さもないと叱られるよ。	だまっていなさい。さもないとしかられるよ 
V0000280221	黙ってろ。さもないと命はないぞ。	だまってろ。さもないといのちはないぞ 
V0000280222	セーターを着なさい。さもないと風邪をひきますよ。	セーターをきなさい。さもないとかぜをひきますよ 
V0000280223	コップに熱いお湯を注ぐな。さもないとひびが入るよ。	コップにあついおゆをそそぐな。さもないとひびがいるよ 
V0000280224	その光景を見て血が凍った。	そのこうけいをみてちがこおった 
V0000280225	その光景が心に焼き付いて離れない。	そのこうけいがこころにやきついてはなれない 
V0000280226	私の目はその光景に吸い付けられた。	わたしのめはそのこうけいにすいつけられた 
V0000280227	その光景を見て彼の勇気はぐらつき始めた。	そのこうけいをみてかれのゆうきはぐらつきはじめた 
V0000280228	水は凍ると固体になる。	みずはこおるとこたいになる 
V0000280229	私は凍った歩道で滑って転んだ。	わたしはこおったほどうですべってころんだ 
V0000280230	中に入らないと、耳が凍りそうだ。	なかにはいらないと、みみがこおりそうだ 
V0000280231	道路が凍っていて多くの事故が起きた。	どうろがこおっていておおくのじこがおきた 
V0000280232	冬は道路が凍るのでお年寄りがよく転びます。	ふゆはどうろがこおるのでおとしよりがよくころびます 
V0000280233	私は滑って階段から転げ落ちた。	わたしはすべってかいだんからころげおちた 
V0000280234	目覚ましを７時にセットしよう。	めざましを７じにセットしよう 
V0000280235	時計は動いていた。しかし目覚ましのベルが鳴らなかった。	とけいははたらいていた。しかしめざましのベルがならなかった 
V0000280236	空から見ると河は巨大な蛇のように見えた。	そらからみるとかわはきょだいなへびのようにみえた 
V0000280237	今日、多くの人々は、巨大な現代社会においては、重要なことで個人にできることは何もないという気持ちをいだいているように思われる。	きょう、おおくのひとびと、きょだいなげんざいしゃかいにおいては、じゅうようなことてこじんにできることはなにもないというきもちをいだいているようにおもわれる 
V0000280238	その会社は急激な変化に対処できなかった。	そのかいしゃはきゅうげきなへんかにたいしょできなかった 
V0000280239	警察は群衆に上手く対処することが出来た。	けいさつはぐんしゅうにうまくたいしょすることができた 
V0000280240	群衆がすぐに彼の周りに集まった。	ぐんしゅうがすぐにかれのまわりにあつまった 
V0000280241	興奮した群衆が競技場から溢れ出てきた。	こうふんしたぐんしゅうがきょうぎじょうからあふれでてきた 
V0000280242	彼女の目から突然涙が溢れ出た。	かのじょのめからとつぜんなみだがあふれでた 
V0000280243	群衆の中に彼を捜そうとしても無駄だ。	ぐんしゅうのなかにかれをさがそうとしてもむだだ 
V0000280244	私達はその試合を観戦して興奮した。	わたしたちはそのしあいをかんせんしてこうふんした 
V0000280245	彼は興奮を抑える事ができなかった。	かれはこうふんをおさえることができなかった 
V0000280246	彼はそれ以上怒りを押さえられなかった。	かれはそれいじょうおこりをおさえられなかった 
V0000280247	興奮するにつれて、彼はますます早口になった。	こうふんするにつれて、かれはますますはやくちになった 
V0000280248	あんなに興奮する野球の試合は見たことがなかったよ。	あんなにこうふんするやきゅうのしあいはみたことがなかったよ 
V0000280249	彼はとても興奮したので、彼の言う事は全く意味を成さなかった。	かれはとてもこうふんしたので、かれのいうことはまったくいみをなさなかった 
V0000280250	少女は教室の隅ですすり泣いていた。	しょうじょはきょうしつのすみですすりないていた 
V0000280251	彼は店の奥の暗い隅に姿を消した。	かれはみせのおくのくらいすみにすがたをけした 
V0000280252	私はその町の隅から隅まで知っている。	わたしはそのまちのすみからすみまでしっている 
V0000280253	会議で使った書類の片づけを頼まれた。	かいぎでつかったしょるいのかたづけをたのまれた 
V0000280254	そろそろテーブルを片づけて始めてよい時間だよ。	そろそろテーブルをかたづけてはじめてよいじかんだよ 
V0000280255	私達は台所を片付けなければならない。	わたしたちはだいどころをかたづけなければならない 
V0000280256	彼らは歩道の雪をシャベルで片付けていた。	かれらはほどうのゆきをシャベルでかたづけていた 
V0000280257	棚を片付けなさい、そうすれば本をそこへ置けます。	たなをかたづけなさい、そうすればほんをそこへおけます 
V0000280258	その課の復習をしましたか。	そのかのふくしゅうをしましたか 
V0000280259	彼は千葉の事務所に転勤した。	はれはちばのじむしょにてんきんした 
V0000280260	彼女は私の事務所で飛びぬけて良く働く。	かのじょはわたしのじむしょでとびぬけてよくはたらく 
V0000280261	ポールは学校で飛び抜けて魅力のある生徒だ。	ポールはがっこうでとびぬけてみりょくのあるせいとだ 
V0000280262	此処は、この地域では飛び抜けて最高のシーフードレストランだ。	ここは、このちいきではとびぬけてさいこうのシーフードレストランだ 
V0000280263	これは今年出版された断然最高の小説です。	これはことししゅっぱんされただんぜんさいこうのしょうせつです 
V0000280264	毎年１０月が観光客の数が最高になるそうだ。	まいとし１０がつがかんこうきゃくのかずがさいこうになるそうだ 
V0000280265	質の点で彼のレポートが最高だ。	しつのてんでかれのレポートがさいこうだ 
